time,linear_accel_x,linear_accel_y,linear_accel_z,angular_vel_x,angular_vel_y,angular_vel_z
8.619999999999905,0.0,0.0,0.0,0.0,0.0,0.0
8.639999999999905,0.0,0.0,0.0,0.0,0.0,0.0
8.659999999999904,0.0,0.0,0.0,0.0,0.0,0.0
8.679999999999904,0.0,0.0,0.0,0.0,0.0,0.0
8.699999999999903,0.0,0.0,0.0,0.0,0.0,0.0
8.719999999999903,0.0,0.0,0.0,0.0,0.0,0.0
8.739999999999903,0.0,0.0,0.0,0.0,0.0,0.0
8.759999999999902,0.0,0.0,0.0,0.0,0.0,0.0
8.779999999999902,0.0,0.0,0.0,0.0,0.0,0.0
8.799999999999901,0.0,0.0,0.0,0.0,0.0,0.0
8.8199999999999,0.0,0.0,0.0,0.0,0.0,0.0
8.8399999999999,0.0,0.0,0.0,0.0,0.0,0.0
8.8599999999999,0.0,0.0,0.0,0.0,0.0,0.0
8.8799999999999,0.0,0.0,0.0,0.0,0.0,0.0
8.899999999999899,0.0,0.0,0.0,0.0,0.0,0.0
8.919999999999899,0.0,0.0,0.0,0.0,0.0,0.0
8.939999999999898,0.0,0.0,0.0,0.0,0.0,0.0
8.959999999999898,0.0,0.0,0.0,0.0,0.0,0.0
8.979999999999897,0.0,0.0,0.0,0.0,0.0,0.0
8.999999999999897,0.0,0.0,0.0,0.0,0.0,0.0
9.019999999999897,0.0,0.0,0.0,0.0,0.0,0.0
9.039999999999896,0.0,0.0,0.0,0.0,0.0,0.0
9.059999999999896,0.0,0.0,0.0,0.0,0.0,0.0
9.079999999999895,0.0,0.0,0.0,0.0,0.0,0.0
9.099999999999895,0.0,0.0,0.0,0.0,0.0,0.0
9.119999999999894,0.0,0.0,0.0,0.0,0.0,0.0
9.139999999999894,0.0,0.0,0.0,0.0,0.0,0.0
9.159999999999894,0.0,0.0,0.0,0.0,0.0,0.0
9.179999999999893,0.0,0.0,0.0,0.0,0.0,0.0
9.199999999999893,0.0,0.0,0.0,0.0,0.0,0.0
9.219999999999892,0.0,0.0,0.0,0.0,0.0,0.0
9.239999999999892,0.0,0.0,0.0,0.0,0.0,0.0
9.259999999999891,0.0,0.0,0.0,0.0,0.0,0.0
9.279999999999891,0.0,0.0,0.0,0.0,0.0,0.0
9.29999999999989,0.0,0.0,0.0,0.0,0.0,0.0
9.31999999999989,0.0,0.0,0.0,0.0,0.0,0.0
9.33999999999989,0.0,0.0,0.0,0.0,0.0,0.0
9.35999999999989,0.0,0.0,0.0,0.0,0.0,0.0
9.379999999999889,0.0,0.0,0.0,0.0,0.0,0.0
9.399999999999888,0.0,0.0,0.0,0.0,0.0,0.0
9.419999999999888,0.0,0.0,0.0,0.0,0.0,0.0
9.439999999999888,0.0,0.0,0.0,0.0,0.0,0.0
9.459999999999887,0.0,0.0,0.0,0.0,0.0,0.0
9.479999999999887,0.0,0.0,0.0,0.0,0.0,0.0
9.499999999999886,0.0,0.0,0.0,0.0,0.0,0.0
9.519999999999886,0.0,0.0,0.0,0.0,0.0,0.0
9.539999999999885,0.0,0.0,0.0,0.0,0.0,0.0
9.559999999999885,0.0,0.0,0.0,0.0,0.0,0.0
9.579999999999885,0.0,0.0,0.0,0.0,0.0,0.0
9.599999999999884,0.0,0.0,0.0,0.0,0.0,0.0
9.619999999999884,0.0,0.0,0.0,0.0,0.0,0.0
9.639999999999883,0.0,0.0,0.0,0.0,0.0,0.0
9.659999999999883,0.0,0.0,0.0,0.0,0.0,0.0
9.679999999999882,0.0,0.0,0.0,0.0,0.0,0.0
9.699999999999882,0.0,0.0,0.0,0.0,0.0,0.0
9.719999999999882,0.0,0.0,0.0,0.0,0.0,0.0
9.739999999999881,0.0,0.0,0.0,0.0,0.0,0.0
9.75999999999988,0.0,0.0,0.0,0.0,0.0,0.0
9.77999999999988,0.0,0.0,0.0,0.0,0.0,0.0
9.79999999999988,0.0,0.0,0.0,0.0,0.0,0.0
9.81999999999988,0.0,0.0,0.0,0.0,0.0,0.0
9.839999999999879,0.0,0.0,0.0,0.0,0.0,0.0
9.859999999999879,0.0,0.0,0.0,0.0,0.0,0.0
9.879999999999878,0.0,0.0,0.0,0.0,0.0,0.0
9.899999999999878,0.0,0.0,0.0,0.0,0.0,0.0
9.919999999999877,0.0,0.0,0.0,0.0,0.0,0.0
9.939999999999877,0.0,0.0,0.0,0.0,0.0,0.0
9.959999999999877,0.0,0.0,0.0,0.0,0.0,0.0
9.979999999999876,0.0,0.0,0.0,0.0,0.0,0.0
9.999999999999876,0.0,0.0,0.0,0.0,0.0,0.0
10.019999999999875,0.0,0.0,0.0,0.0,0.0,0.0
10.039999999999875,0.0,0.0,0.0,0.0,0.0,0.0
10.059999999999874,0.0,0.0,0.0,0.0,0.0,0.0
10.079999999999874,0.0,0.0,0.0,0.0,0.0,0.0
10.099999999999874,0.0,0.0,0.0,0.0,0.0,0.0
10.119999999999873,0.0,0.0,0.0,0.0,0.0,0.0
10.139999999999873,0.0,0.0,0.0,0.0,0.0,0.0
10.159999999999872,0.0,0.0,0.0,0.0,0.0,0.0
10.179999999999872,0.0,0.0,0.0,0.0,0.0,0.0
10.199999999999871,0.0,0.0,0.0,0.0,0.0,0.0
10.219999999999871,0.0,0.0,0.0,0.0,0.0,0.0
10.23999999999987,0.0,0.0,0.0,0.0,0.0,0.0
10.25999999999987,0.0,0.0,0.0,0.0,0.0,0.0
10.27999999999987,0.0,0.0,0.0,0.0,0.0,0.0
10.29999999999987,0.0,0.0,0.0,0.0,0.0,0.0
10.319999999999869,0.0,0.0,0.0,0.0,0.0,0.0
10.339999999999868,0.0,0.0,0.0,0.0,0.0,0.0
10.359999999999868,0.0,0.0,0.0,0.0,0.0,0.0
10.379999999999868,0.0,0.0,0.0,0.0,0.0,0.0
10.399999999999867,0.0,0.0,0.0,0.0,0.0,0.0
10.419999999999867,0.0,0.0,0.0,0.0,0.0,0.0
10.439999999999866,0.0,0.0,0.0,0.0,0.0,0.0
10.459999999999866,0.0,0.0,0.0,0.0,0.0,0.0
10.479999999999865,0.0,0.0,0.0,0.0,0.0,0.0
10.499999999999865,0.0,0.0,0.0,0.0,0.0,0.0
10.519999999999865,0.0,0.0,0.0,0.0,0.0,0.0
10.539999999999864,0.0,0.0,0.0,0.0,0.0,0.0
10.559999999999864,0.0,0.0,0.0,0.0,0.0,0.0
10.579999999999863,0.0,0.0,0.0,0.0,0.0,0.0
10.599999999999863,0.0,0.0,0.0,0.0,0.0,0.0
10.619999999999862,0.0,0.0,0.0,0.0,0.0,0.0
10.639999999999862,0.0,0.0,0.0,0.0,0.0,0.0
10.659999999999862,0.0,0.0,0.0,0.0,0.0,0.0
10.679999999999861,0.0,0.0,0.0,0.0,0.0,0.0
10.69999999999986,0.0,0.0,0.0,0.0,0.0,0.0
10.71999999999986,0.0,0.0,0.0,0.0,0.0,0.0
10.73999999999986,0.0,0.0,0.0,0.0,0.0,0.0
10.75999999999986,0.0,0.0,0.0,0.0,0.0,0.0
10.779999999999859,0.0,0.0,0.0,0.0,0.0,0.0
10.799999999999859,0.0,0.0,0.0,0.0,0.0,0.0
10.819999999999858,0.0,0.0,0.0,0.0,0.0,0.0
10.839999999999858,0.0,0.0,0.0,0.0,0.0,0.0
10.859999999999857,0.0,0.0,0.0,0.0,0.0,0.0
10.879999999999857,0.0,0.0,0.0,0.0,0.0,0.0
10.899999999999856,0.0,0.0,0.0,0.0,0.0,0.0
10.919999999999856,0.0,0.0,0.0,0.0,0.0,0.0
10.939999999999856,0.0,0.0,0.0,0.0,0.0,0.0
10.959999999999855,0.0,0.0,0.0,0.0,0.0,0.0
10.979999999999855,0.0,0.0,0.0,0.0,0.0,0.0
10.999999999999854,0.0,0.0,0.0,0.0,0.0,0.0
11.019999999999854,0.0,0.0,0.0,0.0,0.0,0.0
11.039999999999853,0.0,0.0,0.0,0.0,0.0,0.0
11.059999999999853,0.0,0.0,0.0,0.0,0.0,0.0
11.079999999999853,0.0,0.0,0.0,0.0,0.0,0.0
11.099999999999852,0.0,0.0,0.0,0.0,0.0,0.0
11.119999999999852,0.0,0.0,0.0,0.0,0.0,0.0
11.139999999999851,0.0,0.0,0.0,0.0,0.0,0.0
11.159999999999851,0.0,0.0,0.0,0.0,0.0,0.0
11.17999999999985,0.0,0.0,0.0,0.0,0.0,0.0
11.19999999999985,0.0,0.0,0.0,0.0,0.0,0.0
11.21999999999985,0.0,0.0,0.0,0.0,0.0,0.0
11.23999999999985,0.0,0.0,0.0,0.0,0.0,0.0
11.259999999999849,0.0,0.0,0.0,0.0,0.0,0.0
11.279999999999848,0.0,0.0,0.0,0.0,0.0,0.0
11.299999999999848,0.0,0.0,0.0,0.0,0.0,0.0
11.319999999999848,0.0,0.0,0.0,0.0,0.0,0.0
11.339999999999847,0.0,0.0,0.0,0.0,0.0,0.0
11.359999999999847,0.0,0.0,0.0,0.0,0.0,0.0
11.379999999999846,0.0,0.0,0.0,0.0,0.0,0.0
11.399999999999846,0.0,0.0,0.0,0.0,0.0,0.0
11.419999999999845,0.0,0.0,0.0,0.0,0.0,0.0
11.439999999999845,0.0,0.0,0.0,0.0,0.0,0.0
11.459999999999845,0.0,0.0,0.0,0.0,0.0,0.0
11.479999999999844,0.0,0.0,0.0,0.0,0.0,0.0
11.499999999999844,0.0,0.0,0.0,0.0,0.0,0.0
11.519999999999843,0.0,0.0,0.0,0.0,0.0,0.0
11.539999999999843,0.0,0.0,0.0,0.0,0.0,0.0
11.559999999999842,0.0,0.0,0.0,0.0,0.0,0.0
11.579999999999842,0.0,0.0,0.0,0.0,0.0,0.0
11.599999999999842,0.0,0.0,0.0,0.0,0.0,0.0
11.619999999999841,0.0,0.0,0.0,0.0,0.0,0.0
11.63999999999984,0.0,0.0,0.0,0.0,0.0,0.0
11.65999999999984,0.0,0.0,0.0,0.0,0.0,0.0
11.67999999999984,0.0,0.0,0.0,0.0,0.0,0.0
11.69999999999984,0.0,0.0,0.0,0.0,0.0,0.0
11.719999999999839,0.0,0.0,0.0,0.0,0.0,0.0
11.739999999999839,0.0,0.0,0.0,0.0,0.0,0.0
11.759999999999838,0.0,0.0,0.0,0.0,0.0,0.0
11.779999999999838,0.0,0.0,0.0,0.0,0.0,0.0
11.799999999999837,0.0,0.0,0.0,0.0,0.0,0.0
11.819999999999837,0.0,0.0,0.0,0.0,0.0,0.0
11.839999999999836,0.0,0.0,0.0,0.0,0.0,0.0
11.859999999999836,0.0,0.0,0.0,0.0,0.0,0.0
11.879999999999836,0.0,0.0,0.0,0.0,0.0,0.0
11.899999999999835,0.0,0.0,0.0,0.0,0.0,0.0
11.919999999999835,0.0,0.0,0.0,0.0,0.0,0.0
11.939999999999834,0.0,0.0,0.0,0.0,0.0,0.0
11.959999999999834,0.0,0.0,0.0,0.0,0.0,0.0
11.979999999999833,0.0,0.0,0.0,0.0,0.0,0.0
11.999999999999833,0.0,0.0,0.0,0.0,0.0,0.0
12.019999999999833,0.0,0.0,0.0,0.0,0.0,0.0
12.039999999999832,0.0,0.0,0.0,0.0,0.0,0.0
12.059999999999832,0.0,0.0,0.0,0.0,0.0,0.0
12.079999999999831,0.0,0.0,0.0,0.0,0.0,0.0
12.099999999999831,0.0,0.0,0.0,0.0,0.0,0.0
12.11999999999983,0.0,0.0,0.0,0.0,0.0,0.0
12.13999999999983,0.0,0.0,0.0,0.0,0.0,0.0
12.15999999999983,0.0,0.0,0.0,0.0,0.0,0.0
12.17999999999983,0.0,0.0,0.0,0.0,0.0,0.0
12.199999999999829,0.0,0.0,0.0,0.0,0.0,0.0
12.219999999999828,0.0,0.0,0.0,0.0,0.0,0.0
12.239999999999828,0.0,0.0,0.0,0.0,0.0,0.0
12.259999999999827,0.0,0.0,0.0,0.0,0.0,0.0
12.279999999999827,0.0,0.0,0.0,0.0,0.0,0.0
12.299999999999827,0.0,0.0,0.0,0.0,0.0,0.0
12.319999999999826,0.0,0.0,0.0,0.0,0.0,0.0
12.339999999999826,0.0,0.0,0.0,0.0,0.0,0.0
12.359999999999825,0.0,0.0,0.0,0.0,0.0,0.0
12.379999999999825,0.0,0.0,0.0,0.0,0.0,0.0
12.399999999999824,0.0,0.0,0.0,0.0,0.0,0.0
12.419999999999824,0.0,0.0,0.0,0.0,0.0,0.0
12.439999999999824,0.0,0.0,0.0,0.0,0.0,0.0
12.459999999999823,0.0,0.0,0.0,0.0,0.0,0.0
12.479999999999823,0.0,0.0,0.0,0.0,0.0,0.0
12.499999999999822,0.0,0.0,0.0,0.0,0.0,0.0
12.519999999999822,0.0,0.0,0.0,0.0,0.0,0.0
12.539999999999822,0.0,0.0,0.0,0.0,0.0,0.0
12.559999999999821,0.0,0.0,0.0,0.0,0.0,0.0
12.57999999999982,0.0,0.0,0.0,0.0,0.0,0.0
12.59999999999982,0.0,0.0,0.0,0.0,0.0,0.0
12.61999999999982,0.0,0.0,0.0,0.0,0.0,0.0
12.63999999999982,0.0,0.0,0.0,0.0,0.0,0.0
12.659999999999819,0.0,0.0,0.0,0.0,0.0,0.0
12.679999999999819,0.0,0.0,0.0,0.0,0.0,0.0
12.699999999999818,0.0,0.0,0.0,0.0,0.0,0.0
12.719999999999818,0.0,0.0,0.0,0.0,0.0,0.0
12.739999999999817,0.0,0.0,0.0,0.0,0.0,0.0
12.759999999999817,0.0,0.0,0.0,0.0,0.0,0.0
12.779999999999816,0.0,0.0,0.0,0.0,0.0,0.0
12.799999999999816,0.0,0.0,0.0,0.0,0.0,0.0
12.819999999999816,0.0,0.0,0.0,0.0,0.0,0.0
12.839999999999815,0.0,0.0,0.0,0.0,0.0,0.0
12.859999999999815,0.0,0.0,0.0,0.0,0.0,0.0
12.879999999999814,0.0,0.0,0.0,0.0,0.0,0.0
12.899999999999814,0.0,0.0,0.0,0.0,0.0,0.0
12.919999999999813,0.0,0.0,0.0,0.0,0.0,0.0
12.939999999999813,0.0,0.0,0.0,0.0,0.0,0.0
12.959999999999813,0.0,0.0,0.0,0.0,0.0,0.0
12.979999999999812,0.0,0.0,0.0,0.0,0.0,0.0
12.999999999999812,0.0,0.0,0.0,0.0,0.0,0.0
13.019999999999811,0.0,0.0,0.0,0.0,0.0,0.0
13.03999999999981,0.0,0.0,0.0,0.0,0.0,0.0
13.05999999999981,0.0,0.0,0.0,0.0,0.0,0.0
13.07999999999981,0.0,0.0,0.0,0.0,0.0,0.0
13.09999999999981,0.0,0.0,0.0,0.0,0.0,0.0
13.11999999999981,0.0,0.0,0.0,0.0,0.0,0.0
13.139999999999809,0.0,0.0,0.0,0.0,0.0,0.0
13.159999999999808,0.0,0.0,0.0,0.0,0.0,0.0
13.179999999999808,0.0,0.0,0.0,0.0,0.0,0.0
13.199999999999807,0.0,0.0,0.0,0.0,0.0,0.0
13.219999999999807,0.0,0.0,0.0,0.0,0.0,0.0
13.239999999999807,0.0,0.0,0.0,0.0,0.0,0.0
13.259999999999806,0.0,0.0,0.0,0.0,0.0,0.0
13.279999999999806,0.0,0.0,0.0,0.0,0.0,0.0
13.299999999999805,0.0,0.0,0.0,0.0,0.0,0.0
13.319999999999805,0.0,0.0,0.0,0.0,0.0,0.0
13.339999999999804,0.0,0.0,0.0,0.0,0.0,0.0
13.359999999999804,0.0,0.0,0.0,0.0,0.0,0.0
13.379999999999804,0.0,0.0,0.0,0.0,0.0,0.0
13.399999999999803,0.0,0.0,0.0,0.0,0.0,0.0
13.419999999999803,0.0,0.0,0.0,0.0,0.0,0.0
13.439999999999802,0.0,0.0,0.0,0.0,0.0,0.0
13.459999999999802,0.0,0.0,0.0,0.0,0.0,0.0
13.479999999999801,0.0,0.0,0.0,0.0,0.0,0.0
13.499999999999801,0.0,0.0,0.0,0.0,0.0,0.0
13.5199999999998,0.0,0.0,0.0,0.0,0.0,0.0
13.5399999999998,0.0,0.0,0.0,0.0,0.0,0.0
13.5599999999998,0.0,0.0,0.0,0.0,0.0,0.0
13.5799999999998,0.0,0.0,0.0,0.0,0.0,0.0
13.599999999999799,0.0,0.0,0.0,0.0,0.0,0.0
13.619999999999798,0.0,0.0,0.0,0.0,0.0,0.0
13.639999999999798,0.0,0.0,0.0,0.0,0.0,0.0
13.659999999999798,0.0,0.0,0.0,0.0,0.0,0.0
13.679999999999797,0.0,0.0,0.0,0.0,0.0,0.0
13.699999999999797,0.0,0.0,0.0,0.0,0.0,0.0
13.719999999999796,0.0,0.0,0.0,0.0,0.0,0.0
13.739999999999796,0.0,0.0,0.0,0.0,0.0,0.0
13.759999999999796,0.0,0.0,0.0,0.0,0.0,0.0
13.779999999999795,0.0,0.0,0.0,0.0,0.0,0.0
13.799999999999795,0.0,0.0,0.0,0.0,0.0,0.0
13.819999999999794,0.0,0.0,0.0,0.0,0.0,0.0
13.839999999999794,0.0,0.0,0.0,0.0,0.0,0.0
13.859999999999793,0.0,0.0,0.0,0.0,0.0,0.0
13.879999999999793,0.0,0.0,0.0,0.0,0.0,0.0
13.899999999999793,0.0,0.0,0.0,0.0,0.0,0.0
13.919999999999792,0.0,0.0,0.0,0.0,0.0,0.0
13.939999999999792,0.0,0.0,0.0,0.0,0.0,0.0
13.959999999999791,0.0,0.0,0.0,0.0,0.0,0.0
13.97999999999979,0.0,0.0,0.0,0.0,0.0,0.0
13.99999999999979,0.0,0.0,0.0,0.0,0.0,0.0
14.01999999999979,0.0,0.0,0.0,0.0,0.0,0.0
14.03999999999979,0.0,0.0,0.0,0.0,0.0,0.0
14.059999999999789,0.0,0.0,0.0,0.0,0.0,0.0
14.079999999999789,0.0,0.0,0.0,0.0,0.0,0.0
14.099999999999788,0.0,0.0,0.0,0.0,0.0,0.0
14.119999999999788,0.0,0.0,0.0,0.0,0.0,0.0
14.139999999999787,0.0,0.0,0.0,0.0,0.0,0.0
14.159999999999787,0.0,0.0,0.0,0.0,0.0,0.0
14.179999999999787,0.0,0.0,0.0,0.0,0.0,0.0
14.199999999999786,0.0,0.0,0.0,0.0,0.0,0.0
14.219999999999786,0.0,0.0,0.0,0.0,0.0,0.0
14.239999999999785,0.0,0.0,0.0,0.0,0.0,0.0
14.259999999999785,0.0,0.0,0.0,0.0,0.0,0.0
14.279999999999784,0.0,0.0,0.0,0.0,0.0,0.0
14.299999999999784,0.0,0.0,0.0,0.0,0.0,0.0
14.319999999999784,0.0,0.0,0.0,0.0,0.0,0.0
14.339999999999783,0.0,0.0,0.0,0.0,0.0,0.0
14.359999999999783,0.0,0.0,0.0,0.0,0.0,0.0
14.379999999999782,0.0,0.0,0.0,0.0,0.0,0.0
14.399999999999782,0.0,0.0,0.0,0.0,0.0,0.0
14.419999999999781,0.0,0.0,0.0,0.0,0.0,0.0
14.439999999999781,0.0,0.0,0.0,0.0,0.0,0.0
14.45999999999978,0.0,0.0,0.0,0.0,0.0,0.0
14.47999999999978,0.0,0.0,0.0,0.0,0.0,0.0
14.49999999999978,0.0,0.0,0.0,0.0,0.0,0.0
14.51999999999978,0.0,0.0,0.0,0.0,0.0,0.0
14.539999999999779,0.0,0.0,0.0,0.0,0.0,0.0
14.559999999999778,0.0,0.0,0.0,0.0,0.0,0.0
14.579999999999778,0.0,0.0,0.0,0.0,0.0,0.0
14.599999999999778,0.0,0.0,0.0,0.0,0.0,0.0
14.619999999999777,0.0,0.0,0.0,0.0,0.0,0.0
14.639999999999777,0.0,0.0,0.0,0.0,0.0,0.0
14.659999999999776,0.0,0.0,0.0,0.0,0.0,0.0
14.679999999999776,0.0,0.0,0.0,0.0,0.0,0.0
14.699999999999775,0.0,0.0,0.0,0.0,0.0,0.0
14.719999999999775,0.0,0.0,0.0,0.0,0.0,0.0
14.739999999999775,0.0,0.0,0.0,0.0,0.0,0.0
14.759999999999774,0.0,0.0,0.0,0.0,0.0,0.0
14.779999999999774,0.0,0.0,0.0,0.0,0.0,0.0
14.799999999999773,0.0,0.0,0.0,0.0,0.0,0.0
14.819999999999773,0.0,0.0,0.0,0.0,0.0,0.0
14.839999999999772,0.0,0.0,0.0,0.0,0.0,0.0
14.859999999999772,0.0,0.0,0.0,0.0,0.0,0.0
14.879999999999772,0.0,0.0,0.0,0.0,0.0,0.0
14.899999999999771,0.0,0.0,0.0,0.0,0.0,0.0
14.91999999999977,0.0,0.0,0.0,0.0,0.0,0.0
14.93999999999977,0.0,0.0,0.0,0.0,0.0,0.0
14.95999999999977,0.0,0.0,0.0,0.0,0.0,0.0
14.97999999999977,0.0,0.0,0.0,0.0,0.0,0.0
14.999999999999769,0.0,0.0,0.0,0.0,0.0,0.0
15.019999999999769,0.0,0.0,0.0,0.0,0.0,0.0
15.039999999999768,0.0,0.0,0.0,0.0,0.0,0.0
15.059999999999768,0.0,0.0,0.0,0.0,0.0,0.0
15.079999999999767,0.0,0.0,0.0,0.0,0.0,0.0
15.099999999999767,0.0,0.0,0.0,0.0,0.0,0.0
15.119999999999767,0.0,0.0,0.0,0.0,0.0,0.0
15.139999999999766,0.0,0.0,0.0,0.0,0.0,0.0
15.159999999999766,0.0,0.0,0.0,0.0,0.0,0.0
15.179999999999765,0.0,0.0,0.0,0.0,0.0,0.0
15.199999999999765,0.0,0.0,0.0,0.0,0.0,0.0
15.219999999999764,0.0,0.0,0.0,0.0,0.0,0.0
15.239999999999764,0.0,0.0,0.0,0.0,0.0,0.0
15.259999999999764,0.0,0.0,0.0,0.0,0.0,0.0
15.279999999999763,0.0,0.0,0.0,0.0,0.0,0.0
15.299999999999763,0.0,0.0,0.0,0.0,0.0,0.0
15.319999999999762,0.0,0.0,0.0,0.0,0.0,0.0
15.339999999999762,0.0,0.0,0.0,0.0,0.0,0.0
15.359999999999761,0.0,0.0,0.0,0.0,0.0,0.0
15.379999999999761,0.0,0.0,0.0,0.0,0.0,0.0
15.39999999999976,0.0,0.0,0.0,0.0,0.0,0.0
15.41999999999976,0.0,0.0,0.0,0.0,0.0,0.0
15.43999999999976,0.0,0.0,0.0,0.0,0.0,0.0
15.45999999999976,0.0,0.0,0.0,0.0,0.0,0.0
15.479999999999759,0.0,0.0,0.0,0.0,0.0,0.0
15.499999999999758,0.0,0.0,0.0,0.0,0.0,0.0
15.519999999999758,0.0,0.0,0.0,0.0,0.0,0.0
15.539999999999758,0.0,0.0,0.0,0.0,0.0,0.0
15.559999999999757,0.0,0.0,0.0,0.0,0.0,0.0
15.579999999999757,0.0,0.0,0.0,0.0,0.0,0.0
15.599999999999756,0.0,0.0,0.0,0.0,0.0,0.0
15.619999999999756,0.0,0.0,0.0,0.0,0.0,0.0
15.639999999999755,0.0,0.0,0.0,0.0,0.0,0.0
15.659999999999755,0.0,0.0,0.0,0.0,0.0,0.0
15.679999999999755,0.0,0.0,0.0,0.0,0.0,0.0
15.699999999999754,0.0,0.0,0.0,0.0,0.0,0.0
15.719999999999754,0.0,0.0,0.0,0.0,0.0,0.0
15.739999999999753,0.0,0.0,0.0,0.0,0.0,0.0
15.759999999999753,0.0,0.0,0.0,0.0,0.0,0.0
15.779999999999752,0.0,0.0,0.0,0.0,0.0,0.0
15.799999999999752,0.0,0.0,0.0,0.0,0.0,0.0
15.819999999999752,0.0,0.0,0.0,0.0,0.0,0.0
15.839999999999751,0.0,0.0,0.0,0.0,0.0,0.0
15.85999999999975,0.0,0.0,0.0,0.0,0.0,0.0
15.87999999999975,0.0,0.0,0.0,0.0,0.0,0.0
15.89999999999975,0.0,0.0,0.0,0.0,0.0,0.0
15.91999999999975,0.0,0.0,0.0,0.0,0.0,0.0
15.939999999999749,0.0,0.0,0.0,0.0,0.0,0.0
15.959999999999749,0.0,0.0,0.0,0.0,0.0,0.0
15.979999999999748,0.0,0.0,0.0,0.0,0.0,0.0
15.999999999999748,0.0,0.0,0.0,0.0,0.0,0.0
16.019999999999747,0.0,0.0,0.0,0.0,0.0,0.0
16.039999999999747,0.0,0.0,0.0,0.0,0.0,0.0
16.059999999999746,0.0,0.0,0.0,0.0,0.0,0.0
16.079999999999746,0.0,0.0,0.0,0.0,0.0,0.0
16.099999999999746,0.0,0.0,0.0,0.0,0.0,0.0
16.119999999999745,0.0,0.0,0.0,0.0,0.0,0.0
16.139999999999745,0.0,0.0,0.0,0.0,0.0,0.0
16.159999999999744,0.0,0.0,0.0,0.0,0.0,0.0
16.179999999999744,0.0,0.0,0.0,0.0,0.0,0.0
16.199999999999743,0.0,0.0,0.0,0.0,0.0,0.0
16.219999999999743,0.0,0.0,0.0,0.0,0.0,0.0
16.239999999999743,0.0,0.0,0.0,0.0,0.0,0.0
16.259999999999742,0.0,0.0,0.0,0.0,0.0,0.0
16.279999999999742,0.0,0.0,0.0,0.0,0.0,0.0
16.29999999999974,0.0,0.0,0.0,0.0,0.0,0.0
16.31999999999974,0.0,0.0,0.0,0.0,0.0,0.0
16.33999999999974,0.0,0.0,0.0,0.0,0.0,0.0
16.35999999999974,0.0,0.0,0.0,0.0,0.0,0.0
16.37999999999974,0.0,0.0,0.0,0.0,0.0,0.0
16.39999999999974,0.0,0.0,0.0,0.0,0.0,0.0
16.41999999999974,0.0,0.0,0.0,0.0,0.0,0.0
16.43999999999974,0.0,0.0,0.0,0.0,0.0,0.0
16.459999999999738,0.0,0.0,0.0,0.0,0.0,0.0
16.479999999999738,0.0,0.0,0.0,0.0,0.0,0.0
16.499999999999737,0.0,0.0,0.0,0.0,0.0,0.0
16.519999999999737,0.0,0.0,0.0,0.0,0.0,0.0
16.539999999999736,0.0,0.0,0.0,0.0,0.0,0.0
16.559999999999736,0.0,0.0,0.0,0.0,0.0,0.0
16.579999999999735,0.0,0.0,0.0,0.0,0.0,0.0
16.599999999999735,0.0,0.0,0.0,0.0,0.0,0.0
16.619999999999735,0.0,0.0,0.0,0.0,0.0,0.0
16.639999999999734,0.0,0.0,0.0,0.0,0.0,0.0
16.659999999999734,0.0,0.0,0.0,0.0,0.0,0.0
16.679999999999733,0.0,0.0,0.0,0.0,0.0,0.0
16.699999999999733,0.0,0.0,0.0,0.0,0.0,0.0
16.719999999999732,0.0,0.0,0.0,0.0,0.0,0.0
16.739999999999732,0.0,0.0,0.0,0.0,0.0,0.0
16.75999999999973,0.0,0.0,0.0,0.0,0.0,0.0
16.77999999999973,0.0,0.0,0.0,0.0,0.0,0.0
16.79999999999973,0.0,0.0,0.0,0.0,0.0,0.0
16.81999999999973,0.0,0.0,0.0,0.0,0.0,0.0
16.83999999999973,0.0,0.0,0.0,0.0,0.0,0.0
16.85999999999973,0.0,0.0,0.0,0.0,0.0,0.0
16.87999999999973,0.0,0.0,0.0,0.0,0.0,0.0
16.89999999999973,0.0,0.0,0.0,0.0,0.0,0.0
16.919999999999728,0.0,0.0,0.0,0.0,0.0,0.0
16.939999999999728,0.0,0.0,0.0,0.0,0.0,0.0
16.959999999999727,0.0,0.0,0.0,0.0,0.0,0.0
16.979999999999727,0.0,0.0,0.0,0.0,0.0,0.0
16.999999999999726,0.0,0.0,0.0,0.0,0.0,0.0
17.019999999999726,0.0,0.0,0.0,0.0,0.0,0.0
17.039999999999726,0.0,0.0,0.0,0.0,0.0,0.0
17.059999999999725,0.0,0.0,0.0,0.0,0.0,0.0
17.079999999999725,0.0,0.0,0.0,0.0,0.0,0.0
17.099999999999724,0.0,0.0,0.0,0.0,0.0,0.0
17.119999999999724,0.0,0.0,0.0,0.0,0.0,0.0
17.139999999999723,0.0,0.0,0.0,0.0,0.0,0.0
17.159999999999723,0.0,0.0,0.0,0.0,0.0,0.0
17.179999999999723,0.0,0.0,0.0,0.0,0.0,0.0
17.199999999999722,0.0,0.0,0.0,0.0,0.0,0.0
17.21999999999972,0.0,0.0,0.0,0.0,0.0,0.0
17.23999999999972,0.0,0.0,0.0,0.0,0.0,0.0
17.25999999999972,0.0,0.0,0.0,0.0,0.0,0.0
17.27999999999972,0.0,0.0,0.0,0.0,0.0,0.0
17.29999999999972,0.0,0.0,0.0,0.0,0.0,0.0
